course,date,start_time,end_time
2P6/Communications[3]L Venkataramanan(Constance Tipper),17/03/2025,09:00,10:00
2P5/Electromagnetic Fields and Waves[4]L Flewitt(Constance Tipper),17/03/2025,10:00,11:00
2CW/Lent Lab (see rota)[8]C (),17/03/2025,11:00,13:00
2CW/Lent Lab (see rota)[8]C (),18/03/2025,09:00,11:00
2P8C/Paper 8: The Engineer in Business (Compulsory)[8]L Coleridge/Lu/Pollitt(Constance Tipper),18/03/2025,11:00,12:00
2P7/Linear Algebra[4]L Jarrett(Constance Tipper),18/03/2025,12:00,13:00
2CW/Lent Lab (see rota)[8]C (),19/03/2025,09:00,11:00
2P5/Electromagnetic Fields and Waves[4]L Flewitt(Constance Tipper),19/03/2025,11:00,12:00
2P8/Bioengineering Elective[1]L Hennequin/Huang/Lengyel/Treece(Lecture Room 4),01/05/2025,09:00,10:00
2P8/Electrical Elective[1]L Durkan/Flewitt(Lecture Room 4),01/05/2025,10:00,11:00
"2P8/Mechanical Elective: Mechanics, Materials and Design[1]L Flack/Hunt_HEM/Mandre/Sutcliffe(Constance Tipper)",01/05/2025,11:00,12:00
"2P8/Information Elective: Autonomous Driving: Perception, Learning and Action[1]L Cipolla/OLeary/Turner_RE(Constance Tipper)",01/05/2025,12:00,13:00
2P8/Civil and Structural Engineering Elective: Design and Construction of an Underground Space[1]L Hambleton/McRobie(Constance Tipper),01/05/2025,14:00,15:00
2P8/Civil and Structural Engineering Elective: Design and Construction of an Underground Space[1]L Selvakumaran(Constance Tipper),01/05/2025,14:00,15:00
"2P8/MM Elective: Manufacturing, management, and design: bringing technology innovations to market[1]L Minshall/Mortara/Tietze/Waller(Constance Tipper)",01/05/2025,15:00,16:00
"2P8/Information Elective: Autonomous Driving: Perception, Learning and Action[1]L Cipolla/OLeary/Turner_RE(Constance Tipper)",02/05/2025,09:00,10:00
2P8/Civil and Structural Engineering Elective: Design and Construction of an Underground Space[1]L Selvakumaran(Constance Tipper),02/05/2025,10:00,11:00
